id;platform;text;traffic;sport;work;culture;events;politics
0;0;Který dopravní podnik má nejhezčí kalendář na rok 2019? Hlasujte v anketě a podpořte svého favorita, třeba právě ten náš! @DopravniPodnik  https://link.com/12345;1;0;0;0;0;0
1;0;Portréty nejčerstvějších laureátů Ceny města Brna dominují čtvrtému ročníku autorské výstavy fotografa Jana Nováka. Výstava příznačně nazvaná Osobnosti IV. byla v Křížové chodbě Nové radnice zahájena dnes v 17 hodin → https://link.com/12345;0;0;0;1;1;0
2;0;Autobusy a trolejbusy v Brně se pomalu začínají rozjíždět. Ledovka paralyzovala osobní i hromadnou dopravu, fotka stará hodinu mluví za vše. #pocasineporucis https://link.com/12345;1;0;0;0;0;0
3;0;Na eshopu BRNOiD si lidé loni zakoupili téměř 77 tisíc předplatních jízdenek, šestkrát se zvýšil počet Brňanů,kteří tak zaplatili za komunální odpad. Status studenta si zde ověřilo osm tisíc studentů, připravujeme  spolupráci s VFU a dalšími. Služeb na BRNOiD má dále přibývat. https://link.com/12345;1;0;0;0;0;0
4;0;První den na ostro a zatím bez komplikací. Dolní nádraží, 7:23. Sledujeme, reagujeme. https://link.com/12345;1;0;0;0;0;0
5;0;Podle informací od @PolicieCZ rozhodl soud o vyhoštění řidiče, který vezl v autě 8 běženců z Iráku. Po honičce auto v neděli zastavili policisté na dálnici D2 před Brnem. Auto propadne státu. https://link.com/12345;1;0;0;0;0;0
6;0;Dozvuky vánočních svátků, bleší trh, svatební bazar, filmový festival nebo narozeniny divadla Polárka. Takovou nabídku přinese teprve druhý víkend roku 2019.\n#vikendovetipy → https://link.com/12345 https://link.com/12345;0;0;0;1;1;0
7;0;Dneska mám za sebou cestovatelský trojúhelník Brno - Praha - Ostrava - Brno. Právě jsem přijel domů a koukám, že Soukup jde do politiky? Jděte s tím do háje, to mi nedělejte...;1;0;0;0;0;1
8;0;[Job] Civil Engineer | Company: Energochem | Location: Brno JM  Czech Republic | #Brno #Energy #Engineering #Jobs | More info at  https://link.com/12345;0;0;1;0;0;0
9;0;@karel2 Karle, omlouváme se, nějak jsme ztratili pointu. V Brně se dá zaparkovat v centru i v parkovacích domech, výběr jistě je. Ale jak souvisí nemocnice s dolním nádražím nám bohužel uniká :(;1;0;0;0;0;0
10;0;Publicados los resultados de la carrera 'Brno GP' del evento Clio Cup Race2race:\n1º Juan Lezcano\n2º Sergio Matorra De la Huerta\n3º marcos  del blanco gonzalez\n\nInfo:  https://link.com/12345;0;1;0;0;1;0
11;0;Pushteek fest – 23. února 2019 – Brno, Kabinet Múz – od 16.00 https://link.com/12345;0;0;0;1;1;0
12;0;23. 2. 2019 - Brno - Kabinet Múz - Bonus vs DJ Mary C, Decultivate, Fyasco (SK), Hopes, I Am Pentagon, Idea (Ty Nikdy label), LAVRA, Repelent SS, Vole: PUSHTEEK FEST https://link.com/12345;0;0;0;1;1;0
13;0;Faitgallery a Vladimít Kokolia. Výstava naprosto supr, takhle by to mělo vypadat. #faitgallery #art #emeni #obrazy #kokolia #brno;0;0;0;1;0;0
14;0;@martin Na místě to bohužel nejde vymyslet jinak. Auta by překážela MHD, která je zase důležitá pro komfort cestujících. Navíc je zde zvýšený pohyb lidí. Ideálně tedy na dolní nádraží využívat MHD či zaparkovat na chvíli na placeném parkovišti.;1;0;0;0;0;0
15;0;Na základě podnětu občana Židenic, pana Petra Doležala, dojde k vypnutí semaforu na křižovatce Táborská/Bělohorská. Zatím zkusmo, dočasně, pokud se to osvědčí, byl by semafor vypnut do ukončení výluky zábrdovického mostu. 🚦❌\n#děkujeme #doprava #brno #židenice @autem https://link.com/12345;1;0;0;0;0;0
16;0;#Postdoctoral #Researcher in Discrete #Mathematics and #Algorithms – @Masarna @univerzita: https://link.com/12345 #postdoc #jobs #sciencejobs #vacancies #Brno #CzechRepublic #Europe #EU #discreteMathematics #discreteAlgorithms #computerScience #ERCgrant #ERCfunding #ERC;0;0;1;0;0;0
17;0;#PhD Student and #Postdoctoral #Researcher in the #Genome Integrity team.\n#science #career #jobs #sciencejobs #job #postdoc #genetics #genomics\n#Brno\nhttps://link.com/12345;0;0;1;0;0;0
18;0;"At Thermo Fisher Scientific, our work has a purpose. Our work requires passion &amp; creates meaningful outcomes. Click here to learn more about becoming a part of our team in #Brno. https://link.com/12345 #GeneralScience";0;0;1;0;0;0
19;0;Ode dneška až do neděle je otevřený veletrh Go a Regiontour 🌍\nA my jsme tam taky! Stavte se u stánku, kde na vás dnes čeká Science Slam @univerzita, 3D brýle @ZooBrno nebo kapela Midnight Coffee Session. https://link.com/12345;0;0;0;0;1;0
